"Notes"	"State of Residence"	"State of Residence Code"	"Month"	"Month Code"	"Year"	"Year Code"	Births
	"Georgia"	"13"	"October"	"10"	"2019"	"2019"	10985
	"Georgia"	"13"	"October"	"10"	"2020"	"2020"	10232
	"Georgia"	"13"	"October"	"10"	"2021"	"2021"	10711
	"Georgia"	"13"	"October"	"10"	"2022"	"2022"	10407
"Total"	"Georgia"	"13"	"October"	"10"			74681
	"Georgia"	"13"	"November"	"11"	"2016"	"2016"	10775
	"Georgia"	"13"	"November"	"11"	"2017"	"2017"	10703
	"Georgia"	"13"	"November"	"11"	"2018"	"2018"	10241
	"Georgia"	"13"	"November"	"11"	"2019"	"2019"	10129
	"Georgia"	"13"	"November"	"11"	"2020"	"2020"	9604
	"Georgia"	"13"	"November"	"11"	"2021"	"2021"	10200
	"Georgia"	"13"	"November"	"11"	"2022"	"2022"	10747
"Total"	"Georgia"	"13"	"November"	"11"			72399
	"Georgia"	"13"	"December"	"12"	"2016"	"2016"	11140
	"Georgia"	"13"	"December"	"12"	"2017"	"2017"	10809
	"Georgia"	"13"	"December"	"12"	"2018"	"2018"	10771
	"Georgia"	"13"	"December"	"12"	"2019"	"2019"	10688
	"Georgia"	"13"	"December"	"12"	"2020"	"2020"	10298
	"Georgia"	"13"	"December"	"12"	"2021"	"2021"	10910
	"Georgia"	"13"	"December"	"12"	"2022"	"2022"	11097
"Total"	"Georgia"	"13"	"December"	"12"			75713
"Total"	"Georgia"	"13"					884504
	"Hawaii"	"15"	"January"	"1"	"2016"	"2016"	1490
	"Hawaii"	"15"	"January"	"1"	"2017"	"2017"	1522
	"Hawaii"	"15"	"January"	"1"	"2018"	"2018"	1405
	"Hawaii"	"15"	"January"	"1"	"2019"	"2019"	1387
	"Hawaii"	"15"	"January"	"1"	"2020"	"2020"	1350
	"Hawaii"	"15"	"January"	"1"	"2021"	"2021"	1207
	"Hawaii"	"15"	"January"	"1"	"2022"	"2022"	1360
"Total"	"Hawaii"	"15"	"January"	"1"			9721
	"Hawaii"	"15"	"February"	"2"	"2016"	"2016"	1490
	"Hawaii"	"15"	"February"	"2"	"2017"	"2017"	1368
	"Hawaii"	"15"	"February"	"2"	"2018"	"2018"	1272
	"Hawaii"	"15"	"February"	"2"	"2019"	"2019"	1338
	"Hawaii"	"15"	"February"	"2"	"2020"	"2020"	1290
	"Hawaii"	"15"	"February"	"2"	"2021"	"2021"	1117
	"Hawaii"	"15"	"February"	"2"	"2022"	"2022"	1273
"Total"	"Hawaii"	"15"	"February"	"2"			9148
	"Hawaii"	"15"	"March"	"3"	"2016"	"2016"	1510
	"Hawaii"	"15"	"March"	"3"	"2017"	"2017"	1509
	"Hawaii"	"15"	"March"	"3"	"2018"	"2018"	1406
	"Hawaii"	"15"	"March"	"3"	"2019"	"2019"	1350
	"Hawaii"	"15"	"March"	"3"	"2020"	"2020"	1356
	"Hawaii"	"15"	"March"	"3"	"2021"	"2021"	1417
	"Hawaii"	"15"	"March"	"3"	"2022"	"2022"	1357
"Total"	"Hawaii"	"15"	"March"	"3"			9905
	"Hawaii"	"15"	"April"	"4"	"2016"	"2016"	1461
	"Hawaii"	"15"	"April"	"4"	"2017"	"2017"	1418
	"Hawaii"	"15"	"April"	"4"	"2018"	"2018"	1413
	"Hawaii"	"15"	"April"	"4"	"2019"	"2019"	1329
	"Hawaii"	"15"	"April"	"4"	"2020"	"2020"	1302
	"Hawaii"	"15"	"April"	"4"	"2021"	"2021"	1270
	"Hawaii"	"15"	"April"	"4"	"2022"	"2022"	1208
"Total"	"Hawaii"	"15"	"April"	"4"			9401
	"Hawaii"	"15"	"May"	"5"	"2016"	"2016"	1493
	"Hawaii"	"15"	"May"	"5"	"2017"	"2017"	1434
	"Hawaii"	"15"	"May"	"5"	"2018"	"2018"	1499
	"Hawaii"	"15"	"May"	"5"	"2019"	"2019"	1452
	"Hawaii"	"15"	"May"	"5"	"2020"	"2020"	1342
	"Hawaii"	"15"	"May"	"5"	"2021"	"2021"	1283
	"Hawaii"	"15"	"May"	"5"	"2022"	"2022"	1209
"Total"	"Hawaii"	"15"	"May"	"5"			9712
	"Hawaii"	"15"	"June"	"6"	"2016"	"2016"	1455
	"Hawaii"	"15"	"June"	"6"	"2017"	"2017"	1358
	"Hawaii"	"15"	"June"	"6"	"2018"	"2018"	1381
	"Hawaii"	"15"	"June"	"6"	"2019"	"2019"	1335
	"Hawaii"	"15"	"June"	"6"	"2020"	"2020"	1197
	"Hawaii"	"15"	"June"	"6"	"2021"	"2021"	1267
	"Hawaii"	"15"	"June"	"6"	"2022"	"2022"	1253
"Total"	"Hawaii"	"15"	"June"	"6"			9246
	"Hawaii"	"15"	"July"	"7"	"2016"	"2016"	1503
	"Hawaii"	"15"	"July"	"7"	"2017"	"2017"	1519
	"Hawaii"	"15"	"July"	"7"	"2018"	"2018"	1404
	"Hawaii"	"15"	"July"	"7"	"2019"	"2019"	1447
	"Hawaii"	"15"	"July"	"7"	"2020"	"2020"	1323
	"Hawaii"	"15"	"July"	"7"	"2021"	"2021"	1353
	"Hawaii"	"15"	"July"	"7"	"2022"	"2022"	1339
"Total"	"Hawaii"	"15"	"July"	"7"			9888
	"Hawaii"	"15"	"August"	"8"	"2016"	"2016"	1613
	"Hawaii"	"15"	"August"	"8"	"2017"	"2017"	1486
	"Hawaii"	"15"	"August"	"8"	"2018"	"2018"	1433
	"Hawaii"	"15"	"August"	"8"	"2019"	"2019"	1474
	"Hawaii"	"15"	"August"	"8"	"2020"	"2020"	1332
	"Hawaii"	"15"	"August"	"8"	"2021"	"2021"	1420
	"Hawaii"	"15"	"August"	"8"	"2022"	"2022"	1308
"Total"	"Hawaii"	"15"	"August"	"8"			10066
	"Hawaii"	"15"	"September"	"9"	"2016"	"2016"	1561
	"Hawaii"	"15"	"September"	"9"	"2017"	"2017"	1508
	"Hawaii"	"15"	"September"	"9"	"2018"	"2018"	1485
	"Hawaii"	"15"	"September"	"9"	"2019"	"2019"	1443
	"Hawaii"	"15"	"September"	"9"	"2020"	"2020"	1331
	"Hawaii"	"15"	"September"	"9"	"2021"	"2021"	1386
	"Hawaii"	"15"	"September"	"9"	"2022"	"2022"	1327
"Total"	"Hawaii"	"15"	"September"	"9"			10041
	"Hawaii"	"15"	"October"	"10"	"2016"	"2016"	1583
	"Hawaii"	"15"	"October"	"10"	"2017"	"2017"	1524
	"Hawaii"	"15"	"October"	"10"	"2018"	"2018"	1451
	"Hawaii"	"15"	"October"	"10"	"2019"	"2019"	1417
	"Hawaii"	"15"	"October"	"10"	"2020"	"2020"	1384
	"Hawaii"	"15"	"October"	"10"	"2021"	"2021"	1332
	"Hawaii"	"15"	"October"	"10"	"2022"	"2022"	1314
"Total"	"Hawaii"	"15"	"October"	"10"			10005
	"Hawaii"	"15"	"November"	"11"	"2016"	"2016"	1373
	"Hawaii"	"15"	"November"	"11"	"2017"	"2017"	1419
	"Hawaii"	"15"	"November"	"11"	"2018"	"2018"	1394
	"Hawaii"	"15"	"November"	"11"	"2019"	"2019"	1431
	"Hawaii"	"15"	"November"	"11"	"2020"	"2020"	1317
	"Hawaii"	"15"	"November"	"11"	"2021"	"2021"	1258
	"Hawaii"	"15"	"November"	"11"	"2022"	"2022"	1278
"Total"	"Hawaii"	"15"	"November"	"11"			9470
	"Hawaii"	"15"	"December"	"12"	"2016"	"2016"	1527
	"Hawaii"	"15"	"December"	"12"	"2017"	"2017"	1452
	"Hawaii"	"15"	"December"	"12"	"2018"	"2018"	1429
	"Hawaii"	"15"	"December"	"12"	"2019"	"2019"	1394
	"Hawaii"	"15"	"December"	"12"	"2020"	"2020"	1261
	"Hawaii"	"15"	"December"	"12"	"2021"	"2021"	1310
	"Hawaii"	"15"	"December"	"12"	"2022"	"2022"	1309
"Total"	"Hawaii"	"15"	"December"	"12"			9682
"Total"	"Hawaii"	"15"					116285
	"Idaho"	"16"	"January"	"1"	"2016"	"2016"	1726
	"Idaho"	"16"	"January"	"1"	"2017"	"2017"	1774
	"Idaho"	"16"	"January"	"1"	"2018"	"2018"	1713
	"Idaho"	"16"	"January"	"1"	"2019"	"2019"	1705
	"Idaho"	"16"	"January"	"1"	"2020"	"2020"	1698
	"Idaho"	"16"	"January"	"1"	"2021"	"2021"	1675
	"Idaho"	"16"	"January"	"1"	"2022"	"2022"	1786
"Total"	"Idaho"	"16"	"January"	"1"			12077
	"Idaho"	"16"	"February"	"2"	"2016"	"2016"	1706
	"Idaho"	"16"	"February"	"2"	"2017"	"2017"	1692
	"Idaho"	"16"	"February"	"2"	"2018"	"2018"	1555
	"Idaho"	"16"	"February"	"2"	"2019"	"2019"	1662
	"Idaho"	"16"	"February"	"2"	"2020"	"2020"	1615
	"Idaho"	"16"	"February"	"2"	"2021"	"2021"	1570
	"Idaho"	"16"	"February"	"2"	"2022"	"2022"	1648
"Total"	"Idaho"	"16"	"February"	"2"			11448
	"Idaho"	"16"	"March"	"3"	"2016"	"2016"	1990
	"Idaho"	"16"	"March"	"3"	"2017"	"2017"	1928
	"Idaho"	"16"	"March"	"3"	"2018"	"2018"	1813
	"Idaho"	"16"	"March"	"3"	"2019"	"2019"	1849
	"Idaho"	"16"	"March"	"3"	"2020"	"2020"	1864
	"Idaho"	"16"	"March"	"3"	"2021"	"2021"	1950
	"Idaho"	"16"	"March"	"3"	"2022"	"2022"	1894
"Total"	"Idaho"	"16"	"March"	"3"			13288
	"Idaho"	"16"	"April"	"4"	"2016"	"2016"	1841
	"Idaho"	"16"	"April"	"4"	"2017"	"2017"	1751
	"Idaho"	"16"	"April"	"4"	"2018"	"2018"	1759
	"Idaho"	"16"	"April"	"4"	"2019"	"2019"	1808
	"Idaho"	"16"	"April"	"4"	"2020"	"2020"	1790
	"Idaho"	"16"	"April"	"4"	"2021"	"2021"	1862
	"Idaho"	"16"	"April"	"4"	"2022"	"2022"	1835
"Total"	"Idaho"	"16"	"April"	"4"			12646
	"Idaho"	"16"	"May"	"5"	"2016"	"2016"	1885
	"Idaho"	"16"	"May"	"5"	"2017"	"2017"	1963
	"Idaho"	"16"	"May"	"5"	"2018"	"2018"	1940
	"Idaho"	"16"	"May"	"5"	"2019"	"2019"	1908
	"Idaho"	"16"	"May"	"5"	"2020"	"2020"	1861
	"Idaho"	"16"	"May"	"5"	"2021"	"2021"	1950
	"Idaho"	"16"	"May"	"5"	"2022"	"2022"	1881
"Total"	"Idaho"	"16"	"May"	"5"			13388
	"Idaho"	"16"	"June"	"6"	"2016"	"2016"	1944
	"Idaho"	"16"	"June"	"6"	"2017"	"2017"	1976
	"Idaho"	"16"	"June"	"6"	"2018"	"2018"	1767
	"Idaho"	"16"	"June"	"6"	"2019"	"2019"	1964
	"Idaho"	"16"	"June"	"6"	"2020"	"2020"	1817
	"Idaho"	"16"	"June"	"6"	"2021"	"2021"	1992
	"Idaho"	"16"	"June"	"6"	"2022"	"2022"	1932
"Total"	"Idaho"	"16"	"June"	"6"			13392
	"Idaho"	"16"	"July"	"7"	"2016"	"2016"	1890
	"Idaho"	"16"	"July"	"7"	"2017"	"2017"	1946
	"Idaho"	"16"	"July"	"7"	"2018"	"2018"	1885
	"Idaho"	"16"	"July"	"7"	"2019"	"2019"	2065
	"Idaho"	"16"	"July"	"7"	"2020"	"2020"	1963
	"Idaho"	"16"	"July"	"7"	"2021"	"2021"	1968
	"Idaho"	"16"	"July"	"7"	"2022"	"2022"	2012
"Total"	"Idaho"	"16"	"July"	"7"			13729
	"Idaho"	"16"	"August"	"8"	"2016"	"2016"	2016
	"Idaho"	"16"	"August"	"8"	"2017"	"2017"	1977
	"Idaho"	"16"	"August"	"8"	"2018"	"2018"	1905
	"Idaho"	"16"	"August"	"8"	"2019"	"2019"	2018
	"Idaho"	"16"	"August"	"8"	"2020"	"2020"	1924
	"Idaho"	"16"	"August"	"8"	"2021"	"2021"	2047
	"Idaho"	"16"	"August"	"8"	"2022"	"2022"	2045
"Total"	"Idaho"	"16"	"August"	"8"			13932
	"Idaho"	"16"	"September"	"9"	"2016"	"2016"	2073
	"Idaho"	"16"	"September"	"9"	"2017"	"2017"	1886
	"Idaho"	"16"	"September"	"9"	"2018"	"2018"	1845
	"Idaho"	"16"	"September"	"9"	"2019"	"2019"	1817
	"Idaho"	"16"	"September"	"9"	"2020"	"2020"	1923
	"Idaho"	"16"	"September"	"9"	"2021"	"2021"	1896
	"Idaho"	"16"	"September"	"9"	"2022"	"2022"	1903
"Total"	"Idaho"	"16"	"September"	"9"			13343
	"Idaho"	"16"	"October"	"10"	"2016"	"2016"	1893
	"Idaho"	"16"	"October"	"10"	"2017"	"2017"	1902
	"Idaho"	"16"	"October"	"10"	"2018"	"2018"	1815
	"Idaho"	"16"	"October"	"10"	"2019"	"2019"	1785
	"Idaho"	"16"	"October"	"10"	"2020"	"2020"	1756
	"Idaho"	"16"	"October"	"10"	"2021"	"2021"	1848
	"Idaho"	"16"	"October"	"10"	"2022"	"2022"	1866
"Total"	"Idaho"	"16"	"October"	"10"			12865
	"Idaho"	"16"	"November"	"11"	"2016"	"2016"	1731
	"Idaho"	"16"	"November"	"11"	"2017"	"2017"	1639
	"Idaho"	"16"	"November"	"11"	"2018"	"2018"	1678
	"Idaho"	"16"	"November"	"11"	"2019"	"2019"	1754
	"Idaho"	"16"	"November"	"11"	"2020"	"2020"	1632
	"Idaho"	"16"	"November"	"11"	"2021"	"2021"	1819
	"Idaho"	"16"	"November"	"11"	"2022"	"2022"	1736
"Total"	"Idaho"	"16"	"November"	"11"			11989
	"Idaho"	"16"	"December"	"12"	"2016"	"2016"	1787
	"Idaho"	"16"	"December"	"12"	"2017"	"2017"	1747
	"Idaho"	"16"	"December"	"12"	"2018"	"2018"	1728
	"Idaho"	"16"	"December"	"12"	"2019"	"2019"	1728
	"Idaho"	"16"	"December"	"12"	"2020"	"2020"	1690
	"Idaho"	"16"	"December"	"12"	"2021"	"2021"	1850
	"Idaho"	"16"	"December"	"12"	"2022"	"2022"	1853
"Total"	"Idaho"	"16"	"December"	"12"			12383
"Total"	"Idaho"	"16"					154480
	"Illinois"	"17"	"January"	"1"	"2016"	"2016"	12245
	"Illinois"	"17"	"January"	"1"	"2017"	"2017"	12009
	"Illinois"	"17"	"January"	"1"	"2018"	"2018"	11859
	"Illinois"	"17"	"January"	"1"	"2019"	"2019"	11266
	"Illinois"	"17"	"January"	"1"	"2020"	"2020"	11121
	"Illinois"	"17"	"January"	"1"	"2021"	"2021"	9798
	"Illinois"	"17"	"January"	"1"	"2022"	"2022"	10117
"Total"	"Illinois"	"17"	"January"	"1"			78415
	"Illinois"	"17"	"February"	"2"	"2016"	"2016"	11920
	"Illinois"	"17"	"February"	"2"	"2017"	"2017"	11190
	"Illinois"	"17"	"February"	"2"	"2018"	"2018"	10948
	"Illinois"	"17"	"February"	"2"	"2019"	"2019"	10571
	"Illinois"	"17"	"February"	"2"	"2020"	"2020"	10434
	"Illinois"	"17"	"February"	"2"	"2021"	"2021"	9666
	"Illinois"	"17"	"February"	"2"	"2022"	"2022"	9603
"Total"	"Illinois"	"17"	"February"	"2"			74332
	"Illinois"	"17"	"March"	"3"	"2016"	"2016"	12834
	"Illinois"	"17"	"March"	"3"	"2017"	"2017"	12359
	"Illinois"	"17"	"March"	"3"	"2018"	"2018"	12342
	"Illinois"	"17"	"March"	"3"	"2019"	"2019"	11428
	"Illinois"	"17"	"March"	"3"	"2020"	"2020"	11117
	"Illinois"	"17"	"March"	"3"	"2021"	"2021"	11322
	"Illinois"	"17"	"March"	"3"	"2022"	"2022"	10681
"Total"	"Illinois"	"17"	"March"	"3"			82083
	"Illinois"	"17"	"April"	"4"	"2016"	"2016"	12627
	"Illinois"	"17"	"April"	"4"	"2017"	"2017"	11878
	"Illinois"	"17"	"April"	"4"	"2018"	"2018"	11706
	"Illinois"	"17"	"April"	"4"	"2019"	"2019"	11375
	"Illinois"	"17"	"April"	"4"	"2020"	"2020"	10787
	"Illinois"	"17"	"April"	"4"	"2021"	"2021"	10907
	"Illinois"	"17"	"April"	"4"	"2022"	"2022"	10166
"Total"	"Illinois"	"17"	"April"	"4"			79446
	"Illinois"	"17"	"May"	"5"	"2016"	"2016"	13190
	"Illinois"	"17"	"May"	"5"	"2017"	"2017"	12854
	"Illinois"	"17"	"May"	"5"	"2018"	"2018"	12532
	"Illinois"	"17"	"May"	"5"	"2019"	"2019"	12080
	"Illinois"	"17"	"May"	"5"	"2020"	"2020"	11455
	"Illinois"	"17"	"May"	"5"	"2021"	"2021"	11075
	"Illinois"	"17"	"May"	"5"	"2022"	"2022"	10743
"Total"	"Illinois"	"17"	"May"	"5"			83929
	"Illinois"	"17"	"June"	"6"	"2016"	"2016"	13230
	"Illinois"	"17"	"June"	"6"	"2017"	"2017"	12677
	"Illinois"	"17"	"June"	"6"	"2018"	"2018"	12226
	"Illinois"	"17"	"June"	"6"	"2019"	"2019"	11633
	"Illinois"	"17"	"June"	"6"	"2020"	"2020"	11199
	"Illinois"	"17"	"June"	"6"	"2021"	"2021"	11921
	"Illinois"	"17"	"June"	"6"	"2022"	"2022"	11028
"Total"	"Illinois"	"17"	"June"	"6"			83914
	"Illinois"	"17"	"July"	"7"	"2016"	"2016"	13953
	"Illinois"	"17"	"July"	"7"	"2017"	"2017"	13171
	"Illinois"	"17"	"July"	"7"	"2018"	"2018"	12760
	"Illinois"	"17"	"July"	"7"	"2019"	"2019"	12928
	"Illinois"	"17"	"July"	"7"	"2020"	"2020"	11965
	"Illinois"	"17"	"July"	"7"	"2021"	"2021"	12000
	"Illinois"	"17"	"July"	"7"	"2022"	"2022"	11315
"Total"	"Illinois"	"17"	"July"	"7"			88092
	"Illinois"	"17"	"August"	"8"	"2016"	"2016"	14068
	"Illinois"	"17"	"August"	"8"	"2017"	"2017"	13663
	"Illinois"	"17"	"August"	"8"	"2018"	"2018"	13129
	"Illinois"	"17"	"August"	"8"	"2019"	"2019"	13015
	"Illinois"	"17"	"August"	"8"	"2020"	"2020"	12048
	"Illinois"	"17"	"August"	"8"	"2021"	"2021"	11838
	"Illinois"	"17"	"August"	"8"	"2022"	"2022"	11721
"Total"	"Illinois"	"17"	"August"	"8"			89482
	"Illinois"	"17"	"September"	"9"	"2016"	"2016"	13234
	"Illinois"	"17"	"September"	"9"	"2017"	"2017"	12851
	"Illinois"	"17"	"September"	"9"	"2018"	"2018"	12141
	"Illinois"	"17"	"September"	"9"	"2019"	"2019"	11761
	"Illinois"	"17"	"September"	"9"	"2020"	"2020"	11356
	"Illinois"	"17"	"September"	"9"	"2021"	"2021"	11416
	"Illinois"	"17"	"September"	"9"	"2022"	"2022"	10823
"Total"	"Illinois"	"17"	"September"	"9"			83582
	"Illinois"	"17"	"October"	"10"	"2016"	"2016"	12675
	"Illinois"	"17"	"October"	"10"	"2017"	"2017"	12747
	"Illinois"	"17"	"October"	"10"	"2018"	"2018"	12299
	"Illinois"	"17"	"October"	"10"	"2019"	"2019"	11923
	"Illinois"	"17"	"October"	"10"	"2020"	"2020"	11021
	"Illinois"	"17"	"October"	"10"	"2021"	"2021"	11092
	"Illinois"	"17"	"October"	"10"	"2022"	"2022"	10714
"Total"	"Illinois"	"17"	"October"	"10"			82471
	"Illinois"	"17"	"November"	"11"	"2016"	"2016"	12085
	"Illinois"	"17"	"November"	"11"	"2017"	"2017"	12015
	"Illinois"	"17"	"November"	"11"	"2018"	"2018"	11462
	"Illinois"	"17"	"November"	"11"	"2019"	"2019"	10920
	"Illinois"	"17"	"November"	"11"	"2020"	"2020"	10327
	"Illinois"	"17"	"November"	"11"	"2021"	"2021"	10416
	"Illinois"	"17"	"November"	"11"	"2022"	"2022"	10766
"Total"	"Illinois"	"17"	"November"	"11"			77991
	"Illinois"	"17"	"December"	"12"	"2016"	"2016"	12384
	"Illinois"	"17"	"December"	"12"	"2017"	"2017"	11976
	"Illinois"	"17"	"December"	"12"	"2018"	"2018"	11411
	"Illinois"	"17"	"December"	"12"	"2019"	"2019"	11228
	"Illinois"	"17"	"December"	"12"	"2020"	"2020"	10468
	"Illinois"	"17"	"December"	"12"	"2021"	"2021"	10738
	"Illinois"	"17"	"December"	"12"	"2022"	"2022"	10673
"Total"	"Illinois"	"17"	"December"	"12"			78878
"Total"	"Illinois"	"17"					982615
	"Indiana"	"18"	"January"	"1"	"2016"	"2016"	6504
	"Indiana"	"18"	"January"	"1"	"2017"	"2017"	6605
	"Indiana"	"18"	"January"	"1"	"2018"	"2018"	6643
	"Indiana"	"18"	"January"	"1"	"2019"	"2019"	6581
	"Indiana"	"18"	"January"	"1"	"2020"	"2020"	6608
	"Indiana"	"18"	"January"	"1"	"2021"	"2021"	6169
	"Indiana"	"18"	"January"	"1"	"2022"	"2022"	6218
"Total"	"Indiana"	"18"	"January"	"1"			45328
	"Indiana"	"18"	"February"	"2"	"2016"	"2016"	6409
	"Indiana"	"18"	"February"	"2"	"2017"	"2017"	6099
	"Indiana"	"18"	"February"	"2"	"2018"	"2018"	6217
	"Indiana"	"18"	"February"	"2"	"2019"	"2019"	6115
	"Indiana"	"18"	"February"	"2"	"2020"	"2020"	6264
	"Indiana"	"18"	"February"	"2"	"2021"	"2021"	5657
	"Indiana"	"18"	"February"	"2"	"2022"	"2022"	5974
"Total"	"Indiana"	"18"	"February"	"2"			42735
	"Indiana"	"18"	"March"	"3"	"2016"	"2016"	6921
	"Indiana"	"18"	"March"	"3"	"2017"	"2017"	6902
	"Indiana"	"18"	"March"	"3"	"2018"	"2018"	7008
	"Indiana"	"18"	"March"	"3"	"2019"	"2019"	6487
	"Indiana"	"18"	"March"	"3"	"2020"	"2020"	6556
	"Indiana"	"18"	"March"	"3"	"2021"	"2021"	6323
	"Indiana"	"18"	"March"	"3"	"2022"	"2022"	6790
"Total"	"Indiana"	"18"	"March"	"3"			46987
	"Indiana"	"18"	"April"	"4"	"2016"	"2016"	6624
	"Indiana"	"18"	"April"	"4"	"2017"	"2017"	6471
	"Indiana"	"18"	"April"	"4"	"2018"	"2018"	6456
	"Indiana"	"18"	"April"	"4"	"2019"	"2019"	6519
	"Indiana"	"18"	"April"	"4"	"2020"	"2020"	6273
	"Indiana"	"18"	"April"	"4"	"2021"	"2021"	6314
	"Indiana"	"18"	"April"	"4"	"2022"	"2022"	6360
"Total"	"Indiana"	"18"	"April"	"4"			45017
	"Indiana"	"18"	"May"	"5"	"2016"	"2016"	6887
	"Indiana"	"18"	"May"	"5"	"2017"	"2017"	6684
	"Indiana"	"18"	"May"	"5"	"2018"	"2018"	6920
	"Indiana"	"18"	"May"	"5"	"2019"	"2019"	6730
	"Indiana"	"18"	"May"	"5"	"2020"	"2020"	6683
	"Indiana"	"18"	"May"	"5"	"2021"	"2021"	6584
	"Indiana"	"18"	"May"	"5"	"2022"	"2022"	6522
"Total"	"Indiana"	"18"	"May"	"5"			47010
	"Indiana"	"18"	"June"	"6"	"2016"	"2016"	7132
	"Indiana"	"18"	"June"	"6"	"2017"	"2017"	6864
	"Indiana"	"18"	"June"	"6"	"2018"	"2018"	6771
	"Indiana"	"18"	"June"	"6"	"2019"	"2019"	6560
	"Indiana"	"18"	"June"	"6"	"2020"	"2020"	6480
	"Indiana"	"18"	"June"	"6"	"2021"	"2021"	6963
	"Indiana"	"18"	"June"	"6"	"2022"	"2022"	6736
"Total"	"Indiana"	"18"	"June"	"6"			47506
	"Indiana"	"18"	"July"	"7"	"2016"	"2016"	7250
	"Indiana"	"18"	"July"	"7"	"2017"	"2017"	7305
	"Indiana"	"18"	"July"	"7"	"2018"	"2018"	7040
	"Indiana"	"18"	"July"	"7"	"2019"	"2019"	7209
	"Indiana"	"18"	"July"	"7"	"2020"	"2020"	7195
	"Indiana"	"18"	"July"	"7"	"2021"	"2021"	7248
	"Indiana"	"18"	"July"	"7"	"2022"	"2022"	6795
"Total"	"Indiana"	"18"	"July"	"7"			50042
	"Indiana"	"18"	"August"	"8"	"2016"	"2016"	7562
	"Indiana"	"18"	"August"	"8"	"2017"	"2017"	7494
	"Indiana"	"18"	"August"	"8"	"2018"	"2018"	7424
	"Indiana"	"18"	"August"	"8"	"2019"	"2019"	7486
	"Indiana"	"18"	"August"	"8"	"2020"	"2020"	6958
	"Indiana"	"18"	"August"	"8"	"2021"	"2021"	7204
	"Indiana"	"18"	"August"	"8"	"2022"	"2022"	7351
"Total"	"Indiana"	"18"	"August"	"8"			51479
	"Indiana"	"18"	"September"	"9"	"2016"	"2016"	7204
	"Indiana"	"18"	"September"	"9"	"2017"	"2017"	7264
	"Indiana"	"18"	"September"	"9"	"2018"	"2018"	7085
	"Indiana"	"18"	"September"	"9"	"2019"	"2019"	7121
	"Indiana"	"18"	"September"	"9"	"2020"	"2020"	6804
	"Indiana"	"18"	"September"	"9"	"2021"	"2021"	7161
	"Indiana"	"18"	"September"	"9"	"2022"	"2022"	6696
"Total"	"Indiana"	"18"	"September"	"9"			49335
	"Indiana"	"18"	"October"	"10"	"2016"	"2016"	6937
	"Indiana"	"18"	"October"	"10"	"2017"	"2017"	7003
	"Indiana"	"18"	"October"	"10"	"2018"	"2018"	6889
	"Indiana"	"18"	"October"	"10"	"2019"	"2019"	7003
	"Indiana"	"18"	"October"	"10"	"2020"	"2020"	6556
	"Indiana"	"18"	"October"	"10"	"2021"	"2021"	7002
	"Indiana"	"18"	"October"	"10"	"2022"	"2022"	6752
"Total"	"Indiana"	"18"	"October"	"10"			48142
	"Indiana"	"18"	"November"	"11"	"2016"	"2016"	6752
	"Indiana"	"18"	"November"	"11"	"2017"	"2017"	6797
	"Indiana"	"18"	"November"	"11"	"2018"	"2018"	6509
	"Indiana"	"18"	"November"	"11"	"2019"	"2019"	6415
	"Indiana"	"18"	"November"	"11"	"2020"	"2020"	6059
	"Indiana"	"18"	"November"	"11"	"2021"	"2021"	6593
	"Indiana"	"18"	"November"	"11"	"2022"	"2022"	6626
"Total"	"Indiana"	"18"	"November"	"11"			45751
	"Indiana"	"18"	"December"	"12"	"2016"	"2016"	6909
	"Indiana"	"18"	"December"	"12"	"2017"	"2017"	6682
	"Indiana"	"18"	"December"	"12"	"2018"	"2018"	6684
	"Indiana"	"18"	"December"	"12"	"2019"	"2019"	6633
	"Indiana"	"18"	"December"	"12"	"2020"	"2020"	6180
	"Indiana"	"18"	"December"	"12"	"2021"	"2021"	6728
	"Indiana"	"18"	"December"	"12"	"2022"	"2022"	6829
"Total"	"Indiana"	"18"	"December"	"12"			46645
"Total"	"Indiana"	"18"					565977
	"Iowa"	"19"	"January"	"1"	"2016"	"2016"	3088
	"Iowa"	"19"	"January"	"1"	"2017"	"2017"	3055
	"Iowa"	"19"	"January"	"1"	"2018"	"2018"	3122
	"Iowa"	"19"	"January"	"1"	"2019"	"2019"	3063
	"Iowa"	"19"	"January"	"1"	"2020"	"2020"	3035
	"Iowa"	"19"	"January"	"1"	"2021"	"2021"	2807
	"Iowa"	"19"	"January"	"1"	"2022"	"2022"	2930
"Total"	"Iowa"	"19"	"January"	"1"			21100
	"Iowa"	"19"	"February"	"2"	"2016"	"2016"	2957
	"Iowa"	"19"	"February"	"2"	"2017"	"2017"	2909
	"Iowa"	"19"	"February"	"2"	"2018"	"2018"	2851
	"Iowa"	"19"	"February"	"2"	"2019"	"2019"	2865
	"Iowa"	"19"	"February"	"2"	"2020"	"2020"	2844
	"Iowa"	"19"	"February"	"2"	"2021"	"2021"	2730
	"Iowa"	"19"	"February"	"2"	"2022"	"2022"	2736
"Total"	"Iowa"	"19"	"February"	"2"			19892
	"Iowa"	"19"	"March"	"3"	"2016"	"2016"	3343
	"Iowa"	"19"	"March"	"3"	"2017"	"2017"	3237
	"Iowa"	"19"	"March"	"3"	"2018"	"2018"	3156
	"Iowa"	"19"	"March"	"3"	"2019"	"2019"	3067
	"Iowa"	"19"	"March"	"3"	"2020"	"2020"	3029
